Region,Balanced_Credit_Amount,Location,Age,Size,Promotion,Holidays,Order_Quantity
West,18,Semi-Urban,5,15,1,2,750
West,24,Semi-Urban,10,15,1,2,1500
West,24,Semi-Urban,4,15,1,2,600
West,24,Semi-Urban,2,15,1,2,300
West,15,Rural,8,15,1,2,1200
East,20,Semi-Urban,21,15,1,2,0
East,18,Semi-Urban,20,15,1,3,0
South,7,Urban,1,16,1,1,160
South,18,Urban,13,16,1,1,2080
East,24,Urban,10,16,1,1,1600
West,24,Semi-Urban,4,16,1,1,640
West,12,Urban,19,16,1,1,3040
West,60,Urban,4,16,1,1,640
South,24,Rural,24,16,1,1,0
South,30,Rural,21,16,1,1,3360
West,15,Rural,20,16,1,1,3200
West,36,Rural,20,16,1,2,3200
South,36,Semi-Urban,14,16,1,2,2240
West,36,Semi-Urban,20,16,1,2,3200
South,24,Semi-Urban,18,16,1,2,2880
South,12,Semi-Urban,7,16,1,2,1120
West,6,Semi-Urban,1,16,1,2,160
South,9,Semi-Urban,10,16,1,2,0
West,6,Rural,18,16,1,2,2880
West,18,Rural,25,16,1,2,4000
West,21,Rural,4,16,1,2,640
West,12,Urban,12,16,1,2,1920
West,18,Urban,25,16,1,2,4000
East,48,Urban,6,16,1,2,0
North,9,Urban,13,16,1,2,0
West,36,Urban,23,17,1,1,3910
South,36,Urban,6,17,1,1,1020
West,12,Urban,11,17,1,1,1870
West,12,Rural,2,17,1,1,340
East,47,Urban,6,17,1,1,1020
South,7,Urban,9,17,1,1,1530
West,24,Urban,8,17,1,1,1360
West,10,Urban,5,17,1,1,850
West,15,Urban,22,17,1,1,3740
West,9,Urban,6,17,1,1,1020
West,15,Urban,16,17,1,1,2720
South,21,Urban,6,17,1,1,1020
West,12,Semi-Urban,19,17,1,1,3230
West,6,Urban,22,17,1,1,3740
West,18,Semi-Urban,9,17,1,2,1530
West,15,Semi-Urban,19,17,1,2,3230
West,12,Semi-Urban,24,17,1,2,4080
West,11,Semi-Urban,24,17,1,2,4080
West,12,Semi-Urban,4,17,1,2,680
West,24,Rural,6,17,1,2,1020
West,24,Semi-Urban,8,17,1,2,1360
West,33,Semi-Urban,10,17,1,2,1700
West,36,Semi-Urban,13,17,1,2,2210
West,24,Rural,10,17,1,2,1700
West,48,Semi-Urban,9,17,1,2,1530
West,24,Semi-Urban,4,17,1,2,680
South,6,Rural,7,17,1,2,1190
East,12,Semi-Urban,8,17,1,2,0
West,24,Urban,1,17,1,2,0
South,15,Semi-Urban,5,17,1,3,850
South,36,Semi-Urban,7,18,1,1,1260
South,12,Semi-Urban,22,18,1,1,3960
South,24,Rural,14,18,1,1,2520
West,24,Semi-Urban,16,18,1,1,2880
West,12,Urban,5,18,1,1,900
West,36,Urban,25,18,1,1,4500
West,7,Rural,4,18,1,1,720
East,15,Urban,19,18,1,1,3420
West,6,Urban,6,18,1,1,1080
East,6,Urban,22,18,1,1,3960
South,18,Urban,7,18,1,1,1260
South,18,Semi-Urban,21,18,1,1,0
South,24,Urban,14,18,1,1,2520
West,21,Urban,17,18,1,1,3060
East,18,Rural,14,18,1,1,2520
South,20,Rural,8,18,1,2,1440
West,15,Urban,8,18,1,2,1440
West,36,Semi-Urban,6,18,1,2,1080
West,18,Semi-Urban,3,18,1,2,540
North,12,Rural,20,18,1,2,3600
East,11,Semi-Urban,18,18,1,2,3240
West,6,Semi-Urban,1,18,1,2,180
East,9,Semi-Urban,19,18,1,2,3420
West,42,Semi-Urban,22,18,1,2,3960
North,24,Semi-Urban,14,18,1,2,2520
West,18,Urban,8,18,1,2,0
East,18,Semi-Urban,12,18,1,3,2160
East,6,Semi-Urban,10,18,1,3,1800
South,24,Urban,6,18,1,3,0
North,10,Urban,5,19,1,1,950
West,12,Semi-Urban,22,19,1,1,4180
South,24,Semi-Urban,18,19,1,1,3420
North,10,Urban,1,19,1,1,190
North,12,Urban,8,19,1,1,1520
South,9,Urban,7,19,1,1,1330
West,4,Semi-Urban,12,19,1,1,2280
North,18,Urban,25,19,1,1,0
West,36,Urban,5,19,1,1,0
West,48,Urban,17,19,1,1,3230
West,36,Urban,15,19,1,2,2850
West,12,Semi-Urban,23,19,1,2,4370
North,24,Semi-Urban,21,19,1,2,0
West,24,Semi-Urban,9,19,1,2,1710
East,6,Semi-Urban,16,19,1,2,3040
South,24,Rural,3,19,1,2,570
West,36,Semi-Urban,3,19,1,2,570
South,9,Semi-Urban,21,19,1,3,3990
East,6,Semi-Urban,23,19,1,3,4370
West,10,Urban,17,20,1,1,3400
East,12,Urban,5,20,1,1,1000
West,18,Semi-Urban,24,20,1,1,4800
South,6,Urban,5,20,1,1,1000
West,30,Semi-Urban,17,20,1,1,3400
West,12,Semi-Urban,21,20,1,1,4200
South,48,Rural,4,20,1,1,800
West,24,Urban,22,20,1,1,4400
West,12,Urban,25,20,1,1,10000
West,24,Urban,5,20,1,1,1000
West,48,Urban,1,20,1,1,0
North,24,Urban,21,20,1,1,0
West,12,Semi-Urban,12,20,1,2,2400
South,24,Urban,23,20,1,2,4600
West,12,Semi-Urban,1,20,1,2,200
South,12,Urban,3,20,1,2,600
South,24,Semi-Urban,3,20,1,2,0
South,15,Urban,6,20,1,2,1200
West,36,Semi-Urban,9,20,1,2,1800
West,48,Semi-Urban,25,20,1,2,10000
East,12,Semi-Urban,25,20,1,2,10000
East,30,Semi-Urban,10,20,1,3,2000
West,36,Urban,12,21,1,1,2520
West,54,Urban,12,21,1,1,2520
East,30,Urban,18,21,1,1,3780
West,18,Urban,12,21,1,1,2520
West,12,Urban,15,21,1,1,3150
South,12,Urban,14,21,1,1,2940
East,36,Urban,11,21,1,1,2310
West,11,Semi-Urban,13,21,1,2,2730
South,24,Semi-Urban,4,21,1,2,0
West,18,Rural,8,21,1,2,0
East,6,Semi-Urban,22,21,1,2,4620
South,6,Semi-Urban,9,21,1,2,1890
East,6,Semi-Urban,9,21,1,2,1890
East,8,Semi-Urban,5,21,1,2,1050
East,12,Semi-Urban,14,21,1,2,2940
North,15,Semi-Urban,16,21,1,2,0
East,48,Urban,2,21,1,3,0
West,10,Urban,8,22,1,1,1760
North,15,Urban,20,22,1,1,4400
South,48,Urban,21,22,1,1,4620
East,24,Rural,19,22,1,1,0
East,21,Rural,15,22,1,2,0
South,18,Semi-Urban,23,22,1,2,5060
West,24,Semi-Urban,19,22,1,2,4180
West,30,Semi-Urban,15,22,1,2,3300
South,12,Urban,9,22,1,2,1980
West,28,Rural,9,22,1,2,1980
West,12,Urban,25,23,1,1,0
South,12,Urban,17,23,1,1,0
West,21,Rural,23,23,1,1,0
East,36,Urban,22,23,1,1,0
South,42,Semi-Urban,8,23,1,2,1840
West,24,Semi-Urban,22,23,1,2,5060
West,9,Semi-Urban,13,23,1,2,2990
South,48,Urban,12,23,1,2,2760
South,30,Rural,5,23,1,2,1150
West,6,Semi-Urban,10,23,1,2,2300
West,6,Urban,17,24,1,1,4080
East,48,Urban,8,24,1,1,0
West,12,Semi-Urban,3,24,1,1,720
North,12,Rural,9,24,1,2,2160
West,12,Semi-Urban,2,24,1,2,0
South,27,Urban,2,24,1,2,0
West,4,Semi-Urban,20,24,1,2,4800
South,24,Rural,5,24,1,2,1200
West,4,Semi-Urban,3,24,1,3,720
South,36,Rural,17,24,1,4,0
East,16,Semi-Urban,14,25,1,1,0
West,24,Semi-Urban,1,25,1,2,250
West,24,Semi-Urban,18,25,1,2,4500
East,24,Rural,14,25,1,2,0
East,12,Semi-Urban,19,25,1,2,0
West,12,Semi-Urban,3,25,1,3,750
East,27,Semi-Urban,8,25,1,4,2000
West,48,Semi-Urban,8,26,1,1,0
East,18,Rural,1,26,1,1,0
West,24,Urban,3,26,1,2,0
East,24,Semi-Urban,12,26,1,2,3120
East,15,Semi-Urban,22,26,1,2,5720
West,24,Semi-Urban,13,26,1,2,3380
East,6,Semi-Urban,18,26,1,2,4680
East,12,Rural,8,27,1,1,2160
North,18,Urban,4,27,1,1,1080
West,6,Rural,16,27,1,1,4320
West,15,Urban,1,27,1,1,270
West,6,Semi-Urban,10,27,1,2,2700
West,7,Semi-Urban,20,28,1,2,5600
West,18,Semi-Urban,17,28,1,2,4760
West,48,Semi-Urban,19,28,1,2,5320
East,36,Semi-Urban,1,28,1,2,280
South,12,Urban,13,28,1,2,0
West,18,Semi-Urban,18,28,1,2,5040
East,48,Semi-Urban,2,28,1,2,0
East,12,Rural,25,28,1,2,0
West,15,Urban,7,29,1,1,2030
West,18,Urban,25,29,1,2,7250
South,12,Semi-Urban,17,29,1,2,4930
West,15,Semi-Urban,20,29,1,2,5800
West,12,Urban,4,29,1,3,1160
West,24,Semi-Urban,10,29,1,3,2900
West,18,Urban,9,29,1,3,2610
East,24,Rural,19,30,1,1,0
South,48,Urban,23,30,1,1,6900
East,10,Semi-Urban,6,30,1,2,1800
East,9,Semi-Urban,17,30,1,2,5100
East,12,Urban,19,30,1,2,0
South,18,Semi-Urban,5,30,1,2,1500
West,9,Semi-Urban,4,30,1,3,1200
West,27,Urban,9,30,1,4,2700
North,18,Rural,23,31,1,1,7130
East,24,Urban,13,31,1,1,4030
East,6,Urban,11,31,1,1,3410
South,12,Urban,15,31,1,2,4650
East,10,Semi-Urban,12,31,1,2,3720
South,12,Semi-Urban,17,31,1,2,5270
North,30,Semi-Urban,22,31,1,2,6820
West,24,Rural,24,32,1,1,7680
South,15,Semi-Urban,19,32,1,2,6080
East,27,Urban,11,32,1,2,0
West,21,Urban,22,32,1,2,7040
East,8,Semi-Urban,21,33,1,2,6930
West,12,Semi-Urban,25,33,1,2,8250
East,6,Semi-Urban,10,34,1,2,3400
West,9,Semi-Urban,19,34,1,2,6460
West,6,Semi-Urban,10,34,1,2,3400
West,24,Semi-Urban,14,34,1,2,4760
West,12,Semi-Urban,11,34,1,3,3740
West,30,Rural,8,35,1,1,1000
East,24,Rural,15,35,1,2,4000
West,24,Semi-Urban,15,35,1,2,5250
East,48,Urban,21,35,1,2,4000
West,15,Urban,20,36,1,1,7200
West,24,Rural,24,36,1,2,8640
West,24,Urban,12,36,1,3,3000
East,24,Rural,11,37,1,1,3100
South,42,Rural,18,37,1,1,6660
West,12,Rural,14,37,1,2,2500
East,18,Semi-Urban,24,37,1,3,10000
East,12,Urban,14,39,1,1,3000
South,36,Rural,3,39,1,2,0
East,30,Urban,23,39,1,2,8970
West,11,Semi-Urban,21,39,1,3,8190
West,12,Semi-Urban,1,39,1,3,390
East,48,Semi-Urban,16,40,1,2,4500
East,12,Semi-Urban,20,40,1,4,8000
East,24,Semi-Urban,4,42,1,2,0
South,60,Rural,14,42,1,2,0
West,24,Rural,21,42,1,2,8820
East,12,Semi-Urban,3,42,1,2,0
South,21,Urban,3,43,1,2,0
South,15,Rural,12,43,1,2,1500
West,12,Semi-Urban,10,43,1,2,4300
West,60,Semi-Urban,13,45,1,1,5850
East,24,Urban,22,45,1,1,9900
East,60,Rural,5,45,1,2,400
North,10,Semi-Urban,8,45,1,2,3600
West,30,Semi-Urban,2,45,1,2,900
West,12,Semi-Urban,23,45,1,2,10350
East,24,Urban,8,46,1,1,3680
East,21,Semi-Urban,15,47,1,2,7050
East,42,Semi-Urban,20,47,1,2,9400
East,18,Urban,24,47,1,2,10000
East,12,Semi-Urban,21,48,1,2,10080
North,12,Semi-Urban,4,48,1,3,1920
East,6,Semi-Urban,19,49,1,2,9310
South,9,Urban,18,49,1,2,8820
East,6,Urban,4,50,1,1,0
South,16,Semi-Urban,15,50,1,3,7500
South,10,Urban,25,52,1,1,13000
South,9,Rural,1,56,1,1,0
North,6,Semi-Urban,4,56,1,3,2240
East,24,Semi-Urban,22,57,1,2,12540
